10
6
20 	40 	60 	80 	100 	
20 	20 	20 	20 	20 	
20 	20 	20 	20 	20 	
20 	20 	20 	0 	20 	
20 	20 	20 	20 	10 	
20 	20 	20 	20 	20 	
20 	20 	20 	20 	20 	
0 	0 	0 	0 	0 	0 	
6 	8 	10 	7 	9 	5 	
5 	9 	7 	6 	5 	6 	
10 	6 	10 	5 	6 	9 	
8 	5 	8 	10 	5 	7 	
8 	5 	6 	8 	10 	8 	
8 	5 	6 	6 	6 	5 	
7 	9 	8 	8 	7 	9 	
7 	5 	5 	9 	10 	10 	
5 	9 	6 	9 	6 	7 	
7 	5 	6 	6 	6 	6 	
1 	1 	1 	1 	1 	1 	
0 	0 	0 	0 	1 	1 	
0 	0 	0 	0 	1 	1 	
0 	0 	0 	0 	0 	1 	
0 	0 	0 	1 	1 	0 	
0 	1 	0 	1 	1 	0 	
0 	0 	1 	0 	1 	0 	
1 	0 	0 	0 	0 	0 	
1 	0 	0 	1 	0 	1 	
0 	1 	0 	0 	1 	0 	
1 	0 	0 	0 	0 	1 	
