10
6
20 	40 	60 	80 	100 	
20 	20 	20 	20 	20 	
20 	8 	20 	20 	20 	
20 	20 	20 	4 	20 	
19 	20 	20 	20 	20 	
20 	20 	20 	20 	20 	
20 	15 	20 	20 	20 	
0 	0 	0 	0 	0 	0 	
10 	5 	5 	6 	9 	10 	
9 	6 	7 	9 	10 	7 	
9 	8 	9 	7 	9 	10 	
7 	9 	6 	6 	5 	10 	
6 	6 	10 	6 	6 	5 	
9 	6 	5 	5 	10 	8 	
7 	6 	5 	8 	10 	6 	
6 	8 	9 	5 	6 	8 	
9 	7 	9 	5 	10 	8 	
6 	7 	5 	9 	6 	7 	
1 	1 	1 	1 	1 	1 	
1 	1 	0 	1 	1 	0 	
1 	0 	1 	1 	0 	1 	
1 	1 	1 	1 	1 	1 	
1 	1 	1 	0 	1 	0 	
0 	1 	1 	1 	0 	1 	
1 	0 	1 	0 	0 	1 	
0 	1 	1 	1 	0 	1 	
0 	1 	1 	0 	1 	1 	
1 	0 	1 	1 	1 	1 	
1 	1 	1 	1 	1 	1 	
