25
6
10 	20 	30 	40 	50 	60 	70 	80 	90 	100 	110 	120 	130 	140 	150 	160 	170 	180 	190 	200 	210 	220 	230 	240 	250 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	7 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	9 	10 	10 	10 	10 	10 	10 	10 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
0 	0 	0 	0 	0 	0 	
10 	5 	5 	6 	9 	10 	
9 	6 	7 	9 	10 	7 	
9 	8 	9 	7 	9 	10 	
7 	9 	6 	6 	5 	10 	
6 	6 	10 	6 	6 	5 	
9 	6 	5 	5 	10 	8 	
7 	6 	5 	8 	10 	6 	
6 	8 	9 	5 	6 	8 	
9 	7 	9 	5 	10 	8 	
6 	7 	5 	9 	6 	7 	
7 	6 	5 	6 	8 	10 	
9 	8 	10 	6 	8 	5 	
5 	7 	7 	6 	8 	9 	
7 	5 	5 	6 	6 	10 	
8 	5 	5 	10 	10 	9 	
10 	7 	9 	8 	10 	8 	
10 	5 	8 	9 	8 	9 	
9 	10 	9 	6 	5 	9 	
7 	5 	10 	7 	9 	6 	
6 	5 	7 	9 	9 	5 	
9 	6 	9 	6 	5 	7 	
8 	6 	7 	9 	9 	7 	
7 	5 	6 	7 	7 	5 	
10 	6 	7 	9 	5 	10 	
10 	6 	7 	6 	10 	9 	
1 	1 	1 	1 	1 	1 	
1 	1 	1 	1 	0 	1 	
1 	0 	1 	1 	1 	0 	
1 	1 	0 	1 	0 	1 	
0 	0 	1 	1 	1 	1 	
1 	1 	1 	0 	1 	1 	
1 	0 	1 	1 	1 	0 	
1 	1 	0 	0 	1 	1 	
1 	0 	1 	1 	1 	1 	
1 	1 	1 	0 	1 	1 	
1 	0 	1 	1 	1 	1 	
1 	1 	0 	1 	1 	0 	
1 	1 	1 	0 	1 	1 	
0 	0 	0 	0 	1 	1 	
1 	0 	0 	1 	0 	1 	
1 	1 	1 	1 	0 	0 	
1 	0 	1 	1 	1 	1 	
1 	0 	0 	1 	1 	1 	
1 	0 	1 	0 	1 	0 	
0 	0 	1 	1 	0 	1 	
1 	1 	1 	1 	1 	0 	
1 	0 	1 	1 	0 	1 	
1 	1 	1 	0 	1 	0 	
1 	0 	1 	0 	1 	1 	
1 	1 	0 	0 	0 	1 	
0 	1 	1 	1 	1 	1 	
