25
3
10 	20 	30 	40 	50 	60 	70 	80 	90 	100 	110 	120 	130 	140 	150 	160 	170 	180 	190 	200 	210 	220 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	4 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	10 	
0 	0 	0 	
8 	7 	8 	
5 	7 	6 	
8 	10 	7 	
9 	9 	9 	
10 	8 	9 	
7 	8 	8 	
7 	6 	7 	
9 	8 	10 	
5 	9 	8 	
6 	7 	5 	
9 	9 	7 	
9 	7 	6 	
5 	7 	10 	
7 	6 	10 	
5 	6 	5 	
7 	10 	6 	
6 	6 	9 	
7 	8 	5 	
8 	5 	7 	
7 	5 	9 	
7 	5 	7 	
9 	6 	10 	
8 	5 	7 	
6 	9 	5 	
6 	10 	6 	
1 	1 	1 	
0 	1 	0 	
0 	1 	0 	
1 	0 	0 	
0 	1 	1 	
0 	0 	1 	
0 	1 	0 	
1 	0 	0 	
1 	0 	0 	
1 	0 	0 	
0 	1 	0 	
0 	0 	1 	
0 	0 	1 	
1 	0 	1 	
1 	1 	0 	
0 	1 	0 	
0 	0 	1 	
0 	0 	1 	
1 	0 	0 	
0 	1 	0 	
0 	1 	0 	
0 	1 	0 	
1 	0 	0 	
0 	1 	0 	
0 	0 	1 	
1 	1 	0 	
